code,nom,description,version,organisme,statut,secteur
ISO 704:1987,01.020 - Terminology (principles and coordination),,1987,ISO,actif,Services & Management
ISO/IEC Guide 2:1991,01.040.01 - Generalities. Terminology. Standardization. Documentation (Vocabularies),,1991,ISO/IEC,actif,Services & Management
IWA 27:2017,"01.040.03 - Services. Company organization, management and quality. Administration. Transport. Sociology. (Vocabularies)",,2017,ISO,actif,Services & Management
ISO/TR 12802:2010,01.040.07 - Natural and applied sciences (Vocabularies),,2010,ISO,actif,Services & Management
ISO 1942:1983,01.040.11 - Health care technology (Vocabularies),,1983,ISO,actif,Services & Management
ISO 374-1:2016,01.040.13 - Environment. Health protection. Safety (Vocabularies),,2016,ISO,actif,Services & Management
ISO Guide 99:1993,01.040.17 - Metrology and measurement. Physical phenomena (Vocabularies),,1993,ISO,actif,Services & Management
ISO 2395:1972,01.040.19 - Testing (Vocabularies),,1972,ISO,actif,Services & Management
ISO 1081:1980,01.040.21 - Mechanical systems and components for general use (Vocabularies),,1980,ISO,actif,Services & Management
ISO 3529-1:1981,01.040.23 - Fluid systems and components for general use (Vocabularies),,1981,ISO,actif,Services & Management
ISO 581:1980,01.040.25 - Manufacturing engineering (Vocabularies),,1980,ISO,actif,Services & Management
ISO 921:1972,01.040.27 - Energy and heat transfer engineering (Vocabularies),,1972,ISO,actif,Services & Management
ISO 11145:1994,01.040.31 - Electronics (Vocabularies),,1994,ISO,actif,Services & Management
IEC 824:1988,01.040.35 - Information technology (Vocabularies),,1988,IEC,actif,Services & Management
ISO 5-1:2009,01.040.37 - Image technology (Vocabularies),,2009,ISO,actif,Services & Management
ISO 1112:1999,01.040.39 - Precision mechanics. Jewellery (Vocabularies),,1999,ISO,actif,Services & Management
ISO 611:1980,01.040.43 - Road vehicle engineering (Vocabularies),,1980,ISO,actif,Services & Management
ISO 1069:1973,01.040.47 - Shipbuilding and marine structures (Vocabularies),,1973,ISO,actif,Services & Management
ISO 5843-1:1985,01.040.49 - Aircraft and space vehicle engineering (Vocabularies),,1985,ISO,actif,Services & Management
ISO 1837:1973,01.040.53 - Materials handling equipment (Vocabularies),,1973,ISO,actif,Services & Management
ISO 445:1984,01.040.55 - Packaging and distribution of goods (Vocabularies),,1984,ISO,actif,Services & Management
ISO 105-A08:2001,01.040.59 - Textile and leather technology (Vocabularies),,2001,ISO,actif,Services & Management
ISO 10335:1990,01.040.61 - Clothing industry (Vocabularies),,1990,ISO,actif,Services & Management
ISO 1107:1974,01.040.65 - Agriculture (Vocabularies),,1974,ISO,actif,Services & Management
ISO 676:1982,01.040.67 - Food technology (Vocabularies),,1982,ISO,actif,Services & Management
ISO Guide 30:1981,01.040.71 - Chemical technology (Vocabularies),,1981,ISO,actif,Services & Management
ISO 1213-1:1982,01.040.73 - Mining and minerals (Vocabularies),,1982,ISO,actif,Services & Management
ISO 1213-2:1992,01.040.75 - Petroleum and related technologies (Vocabularies),,1992,ISO,actif,Services & Management
ISO 197-1:1983,01.040.77 - Metallurgy (Vocabularies),,1983,ISO,actif,Services & Management
ISO 633:1986,01.040.79 - Wood technology (Vocabularies),,1986,ISO,actif,Services & Management
ISO 836:2001,01.040.81 - Glass and ceramics industries (Vocabularies),,2001,ISO,actif,Services & Management
ISO 194:1981,01.040.83 - Rubber and plastics industries (Vocabularies),,1981,ISO,actif,Services & Management
ISO/R 231:1961,01.040.85 - Paper technology (Vocabularies),,1961,ISO,actif,Services & Management
ISO 4617:2000,01.040.87 - Paint and colour industries (Vocabularies),,2000,ISO,actif,Services & Management
ISO/R 597:1967,01.040.91 - Construction materials and building (Vocabularies),,1967,ISO,actif,Services & Management
ISO 6707-1:1984,01.040.93 - Civil engineering (Vocabularies),,1984,ISO,actif,Services & Management
