code,nom,description,version,organisme,statut,secteur
"IEC/ISO JTC 3","Technologies quantiques","IEC/ISO JTC 3 is being supported administratively by IEC. All information related to IEC/ISO JTC 3 is available on the IEC web site Standardization in the field of quantum technologies. The scope includes standardization in the field of quantum technologies, including quantuminformation technologies (quantum computing and quantum simulation), quantum metrology,quantum sources, quantum detectors, quantum communications, and fundamental quantumtechnologies. The JTC will coordinate the results o...",2024,ISO/IEC,actif,"Informatique & Technologies"
"IEC/ISO JTC 3/JSC 3A","Quantum computing","IEC/ISO JTC 3/JSC 3A is being supported administratively by IEC. All information related to IEC/ISO JTC 3/JSC 3A is available on the IEC web site Standardization in the field of quantum computing. This includes hardware and software aspects of universal quantum computing, restricted forms of quantum computing such as quantum simulators and quantum annealers, and hybrid forms of quantum computing. The scope excludes quantum metrology, quantum sources, quantum detectors, quantum communications,...",2026,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1","Technologies de l'information","Standardization in the field of information technology.",1987,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 6",Téléinformatique,"Since SC6 was established in 1964, SC6 has worked on standardization in the field of telecommunications dealing with the exchange of information between open systems, including system functions, procedures, parameters as well as the conditions for their use. This standardization encompasses protocols and services of lower layers including physical, data link, network, and transport as well as those of upper layers including but not limited to Directory and ASN.1: MFAN, NFC, PLC, Future Networ...",1988,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 7","Ingénierie du logiciel et des systèmes","Standardization of processes, supporting tools and supporting technologies for the engineering of software products and systems. Note: The processes, tools and technologies are within the scope of JTC1 terms of references and exclude specific tools and technologies that have been assigned by JTC1 to other of its SC's.",1987,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 22","Langages de programmation, leur environnement et interfaces des logiciels de systèmes","JTC1/SC 22 is the international standardization subcommittee for programming languages, their environments and system software interfaces. SC 22 is oftentimes called the 'portability subcommittee'.",1987,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 23","Supports enregistrés numériquement pour échange et stockage d'information","Standardization in the field of removable digital storage media utilizing optical, holographic and magnetic recording technologies, and flash memory technologies for digital information interchange, including; algorithms for the lossless compression of data volume and file structure methods for determining the life expectancy of digital storage media methods for error monitoring of digital storage media",1987,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 24","Infographie, traitement de l'image et représentation des données environnementales","Standardization relating to: computer graphics, image processing, virtual reality, augmented reality, and mixed reality, environmental data representation, visualization of, and interaction with, information Excluded: efficient coding of multimedia",1987,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 25","Interconnexion des appareils de traitement de l'information","ISO/IEC JTC 1/SC 25 is being supported administratively by IEC. All information related to ISO/IEC JTC 1/SC 25 is available on the IEC web site Standardization of microprocessor systems, interfaces, protocols, architectures and associated interconnecting media for information technology equipment and networks to support embedded and distributed computing environments, storage systems and other input/output components. Standards for home and building electronic systems in residential and comme...",1990,ISO/IEC,actif,"Informatique & Technologies"
"ISO/IEC JTC 1/SC 27","Sécurité de l’information, cybersécurité et protection de la vie privée","The development of standards for the protection of information and ICT. This includes generic methods, techniques and guidelines to address both security and privacy aspects, such as: Security requirements capture methodology; Management of information and ICT security; in particular information security management systems, security processes, and security controls and services; Cryptographic and other security mechanisms, including but not limited to mechanisms for protecting the accountabil...",1989,ISO/IEC,actif,"Informatique & Technologies"
